id,benchmark,function,passes,wcet
0,ns/ns,foo,"gvn - loop(loop-idiom) - loop(loop-deletion) - bdce - lcssa - reassociate - gvn - mem2reg,loop-unroll<O3>",230866
1,ns/ns,foo,"gvn - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-distribute - loop-mssa(licm) - loop-vectorize - loop(loop-deletion)",190236
2,ns/ns,foo,"loop-vectorize - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - lower-expect - loop-distribute - lower-expect - loop-vectorize - memcpyopt",190236
3,ns/ns,foo,"pgo-memop-opt - reassociate - mem2reg - gvn - gvn - loop(loop-deletion) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129806
4,ns/ns,foo,"callsite-splitting - tailcallelim - reassociate - gvn - jump-threading - loop-mssa(licm) - loop(loop-idiom) - mem2reg,loop-unroll<O3>",190236
5,ns/ns,foo,"aggressive-instcombine - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - div-rem-pairs - gvn - gvn - gvn - no-op-function",129846
6,ns/ns,foo,"instsimplify - speculative-execution - sroa - bdce - no-op-function - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3>",215696
7,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop(loop-idiom) - gvn - loop-sink - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - reassociate",215696
8,ns/ns,foo,"reassociate - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg - gvn - lcssa - loop-sink - gvn",166696
9,ns/ns,foo,"mem2reg,loop-unroll<O3> - lcssa - adce - reassociate - dse - mem2reg - loop-mssa(licm) - mem2reg,loop-unroll<O3>",212596
10,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3>",212596
11,ns/ns,foo,"loop-mssa(licm) - gvn - gvn - no-op-function - mem2reg,loop-unroll<O3>",190236
12,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-vectorize - jump-threading - mem2reg,loop-unroll<O3> - gvn - lower-constant-intrinsics",129806
13,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3>",190236
14,ns/ns,foo,"sccp - loop-mssa(licm) - adce - loop-mssa(licm) - tailcallelim - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",215696
15,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - bdce - tailcallelim - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg - gvn",129846
16,ns/ns,foo,"lcssa - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3> - gvn - gvn - gvn - div-rem-pairs",128856
17,ns/ns,foo,"speculative-execution - loop(indvars) - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - reassociate - lower-constant-intrinsics - correlated-propagation - dse - mem2reg,loop-unroll<O3> - reassociate",230926
18,ns/ns,foo,"lower-expect - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - float2int - loop(loop-idiom)",215696
19,ns/ns,foo,"mem2reg,loop-unroll<O3> - tailcallelim - gvn - mem2reg,loop-unroll<O3> - lcssa - gvn - dse - loop-mssa(licm)",215696
20,ns/ns,foo,"loop-mssa(licm) - pgo-memop-opt - loop-vectorize - loop(loop-deletion) - speculative-execution - loop-mssa(licm) - loop-mssa(licm) - lower-constant-intrinsics",370686
21,ns/ns,foo,"instcombine - reassociate",367696
22,ns/ns,foo,"loop-mssa(licm) - mem2reg,loop-unroll<O3> - reassociate - loop(indvars) - loop-mssa(licm) - bdce - mem2reg,loop-unroll<O3> - loop-mssa(licm)",190296
23,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - mem2reg - gvn",129846
24,ns/ns,foo,"loop-mssa(licm) - loop(indvars) - gvn - loop(loop-idiom) - gvn - slp-vectorizer - lower-expect",269086
25,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - sroa - loop(loop-deletion) - float2int - loop-mssa(licm) - mem2reg,loop-unroll<O3>",212596
26,ns/ns,foo,"tailcallelim - mem2reg,loop-unroll<O3> - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn",166696
27,ns/ns,foo,"lcssa - gvn - loop-mssa(licm)",370626
28,ns/ns,foo,"libcalls-shrinkwrap - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop(loop-deletion) - aggressive-instcombine",190296
29,ns/ns,foo,"loop-sink - loop-mssa(licm) - tailcallelim - dse - lcssa - instsimplify",269146
30,ns/ns,foo,"slp-vectorizer - mldst-motion - loop-mssa(licm)",370686
31,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop(loop-deletion) - loop-mssa(licm) - loop(loop-deletion)",212536
32,ns/ns,foo,"loop-mssa(licm) - gvn - dse",269086
33,ns/ns,foo,"loop-sink - instsimplify - loop-mssa(licm) - reassociate - mem2reg,loop-unroll<O3> - loop(loop-deletion) - div-rem-pairs",190296
34,ns/ns,foo,"gvn - gvn - gvn - loop-simplify - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - lower-constant-intrinsics",190236
35,ns/ns,foo,"reassociate - gvn - sccp - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - loop-mssa(licm) - gvn",128856
36,ns/ns,foo,"lower-expect - loop(loop-deletion) - gvn - gvn - instcombine",367636
37,ns/ns,foo,"gvn - sccp - loop-mssa(licm) - bdce - gvn - sccp - loop-mssa(licm) - aggressive-instcombine",370626
38,ns/ns,foo,"gvn - callsite-splitting - gvn - gvn - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",190566
39,ns/ns,foo,"float2int - mem2reg,loop-unroll<O3> - loop-vectorize - loop-mssa(licm) - alignment-from-assumptions - gvn - gvn - no-op-function",166696
40,ns/ns,foo,"mem2reg,loop-unroll<O3> - tailcallelim - gvn - loop-mssa(licm) - gvn - loop-mssa(licm)",215696
41,ns/ns,foo,"float2int - mem2reg,loop-unroll<O3> - lower-expect - gvn - gvn - mem2reg,loop-unroll<O3>",216026
42,ns/ns,foo,"gvn - gvn - lower-expect - loop-mssa(licm) - lcssa - mem2reg - sroa - loop-mssa(licm)",370626
43,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn - no-op-function - pgo-memop-opt - mem2reg,loop-unroll<O3> - loop(indvars) - gvn",129846
44,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop(indvars) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom)",216026
45,ns/ns,foo,"loop-distribute - mem2reg,loop-unroll<O3> - gvn - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",216026
46,ns/ns,foo,"instsimplify - gvn - lcssa - loop-mssa(licm)",370626
47,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - tailcallelim",212596
48,ns/ns,foo,"correlated-propagation - mem2reg,loop-unroll<O3> - gvn - gvn",129846
49,ns/ns,foo,"gvn - reassociate - gvn",367636
50,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - float2int - mem2reg,loop-unroll<O3>",230926
51,ns/ns,foo,"loop-mssa(licm) - alignment-from-assumptions - loop(indvars)",370686
52,ns/ns,foo,"sccp - loop-distribute - mem2reg,loop-unroll<O3> - lower-constant-intrinsics - gvn",129846
53,ns/ns,foo,"correlated-propagation - loop(loop-deletion) - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-distribute - mem2reg,loop-unroll<O3> - mldst-motion",190236
54,ns/ns,foo,"lcssa - loop-mssa(licm) - gvn - loop(loop-deletion) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190236
55,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - loop-sink - loop(loop-deletion) - gvn",129806
56,ns/ns,foo,"gvn - loop-mssa(licm) - loop-distribute - loop-vectorize - slp-vectorizer - gvn - loop-mssa(licm) - correlated-propagation",269086
57,ns/ns,foo,"mem2reg,loop-unroll<O3> - alignment-from-assumptions - memcpyopt - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - sroa",230926
58,ns/ns,foo,"adce - lcssa - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",230926
59,ns/ns,foo,"loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3>",190296
60,ns/ns,foo,"instsimplify - loop(loop-idiom) - mem2reg,loop-unroll<O3> - loop(loop-idiom)",230926
61,ns/ns,foo,"gvn - sroa - loop-sink - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - mldst-motion - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - bdce - mem2reg,loop-unroll<O3>",230866
