id,benchmark,function,passes,wcet
0,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn",166696
1,ns/ns,foo,"gvn - gvn - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn",166036
2,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - gvn - gvn - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn",128856
3,ns/ns,foo,"gvn - bdce - mem2reg,loop-unroll<O3>",230866
4,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - bdce - mem2reg,loop-unroll<O3>",230866
5,ns/ns,foo,"instsimplify - gvn - gvn - gvn - float2int - no-op-function",367636
6,ns/ns,foo,"lower-expect - gvn - reassociate - loop-mssa(licm) - libcalls-shrinkwrap - instsimplify - gvn - gvn - float2int - no-op-function",269086
7,ns/ns,foo,"tailcallelim - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",129846
8,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",129846
9,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",129846
10,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",129806
11,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",128856
12,ns/ns,foo,"jump-threading - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",129806
13,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-simplify - mem2reg,loop-unroll<O3> - gvn",129846
14,ns/ns,foo,"lcssa - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-simplify - mem2reg,loop-unroll<O3> - gvn",129846
15,ns/ns,foo,"mem2reg - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3>",190236
16,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-vectorize - loop-sink - mem2reg,loop-unroll<O3> - loop-sink - mem2reg,loop-unroll<O3>",230926
17,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - loop-vectorize - loop-sink - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",230866
18,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - loop-sink - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",216026
19,ns/ns,foo,"loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - loop-sink - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",215696
20,ns/ns,foo,"mem2reg - pgo-memop-opt - mem2reg - loop(loop-deletion) - mem2reg,loop-unroll<O3>",230926
21,ns/ns,foo,"no-op-function - mem2reg - pgo-memop-opt - mem2reg - loop(loop-deletion) - mem2reg,loop-unroll<O3>",230926
22,ns/ns,foo,"mem2reg - no-op-function - mem2reg - pgo-memop-opt - loop(loop-deletion) - mem2reg,loop-unroll<O3>",230926
23,ns/ns,foo,"loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt",190296
24,ns/ns,foo,"loop(loop-deletion) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt",190296
