id,benchmark,function,passes,wcet
0,ns/ns,foo,"loop-distribute - loop(loop-deletion) - sroa - lcssa - loop-vectorize - no-op-function - no-op-function - no-op-function - loop(loop-deletion) - no-op-function",422376
1,ns/ns,foo,"instcombine - loop(indvars) - no-op-function - no-op-function - no-op-function - no-op-function - reassociate - loop(indvars) - no-op-function - no-op-function",422376
2,ns/ns,foo,"adce - dse - lcssa - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - loop(loop-deletion) - no-op-function",422376
3,ns/ns,foo,"loop-sink - lcssa - pgo-memop-opt - mem2reg - no-op-function - div-rem-pairs - reassociate - loop(indvars) - no-op-function - no-op-function",422376
4,ns/ns,foo,"bdce - no-op-function - aggressive-instcombine - loop-vectorize - lower-expect - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",383316
5,ns/ns,foo,"callsite-splitting - loop(loop-deletion) - slp-vectorizer - speculative-execution - no-op-function - no-op-function - no-op-function - no-op-function - loop(loop-deletion) - no-op-function",422376
6,ns/ns,foo,"loop(loop-idiom) - jump-threading - loop-vectorize - sroa - loop-simplify - callsite-splitting - no-op-function - no-op-function - no-op-function - no-op-function",422376
7,ns/ns,foo,"loop(loop-deletion) - loop-simplify - loop-sink - div-rem-pairs - loop-simplify - reassociate - no-op-function - no-op-function - no-op-function - no-op-function",422376
8,ns/ns,foo,"aggressive-instcombine - instcombine - adce - instcombine - loop-mssa(licm) - no-op-function - no-op-function - instsimplify - loop(loop-deletion) - no-op-function",422376
9,ns/ns,foo,"adce - no-op-function - lcssa - loop-distribute - loop(loop-idiom) - memcpyopt - libcalls-shrinkwrap - no-op-function - no-op-function - no-op-function",422376
10,ns/ns,foo,"loop(loop-idiom) - no-op-function - loop-sink - div-rem-pairs - mem2reg - alignment-from-assumptions - loop-load-elim - no-op-function - no-op-function - no-op-function",422376
11,ns/ns,foo,"loop(loop-idiom) - jump-threading - loop-vectorize - lcssa - loop-vectorize - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",422376
12,ns/ns,foo,"no-op-function - float2int - instcombine - alignment-from-assumptions - div-rem-pairs - lower-constant-intrinsics - loop-vectorize - no-op-function - no-op-function - no-op-function",383316
13,ns/ns,foo,"pgo-memop-opt - lower-constant-intrinsics - loop(loop-idiom) - tailcallelim - lcssa - bdce - loop(loop-idiom) - mem2reg - slp-vectorizer - no-op-function",422376
14,ns/ns,foo,"aggressive-instcombine - loop(loop-deletion) - dse - loop(loop-idiom) - no-op-function - bdce - loop-sink - no-op-function - no-op-function - no-op-function",422376
15,ns/ns,foo,"lcssa - aggressive-instcombine - reassociate - speculative-execution - mldst-motion - float2int - libcalls-shrinkwrap - no-op-function - no-op-function - no-op-function",422376
16,ns/ns,foo,"no-op-function - no-op-function - lcssa - loop-sink - no-op-function - aggressive-instcombine - loop(loop-deletion) - no-op-function - no-op-function - no-op-function",422376
17,ns/ns,foo,"lcssa - loop-simplify - loop-sink - div-rem-pairs - loop-simplify - reassociate - loop-sink - no-op-function - no-op-function - no-op-function",422376
18,ns/ns,foo,"adce - no-op-function - lcssa - loop(loop-idiom) - no-op-function - bdce - no-op-function - no-op-function - no-op-function - no-op-function",422376
19,ns/ns,foo,"pgo-memop-opt - speculative-execution - lcssa - no-op-function - mldst-motion - float2int - slp-vectorizer - loop-simplify - alignment-from-assumptions - dse",422376
20,ns/ns,foo,"instcombine - dse - loop(loop-idiom) - loop(loop-deletion) - mldst-motion - loop-load-elim - loop-load-elim - sccp - no-op-function - no-op-function",422376
21,ns/ns,foo,"adce - no-op-function - lcssa - loop(loop-idiom) - no-op-function - no-op-function - no-op-function - no-op-function - loop(loop-deletion) - no-op-function",422376
22,ns/ns,foo,"aggressive-instcombine - loop(loop-deletion) - dse - no-op-function - adce - no-op-function - callsite-splitting - no-op-function - no-op-function - slp-vectorizer",422376
23,ns/ns,foo,"no-op-function - float2int - instcombine - alignment-from-assumptions - div-rem-pairs - lower-constant-intrinsics - loop(loop-idiom) - mem2reg - no-op-function - no-op-function",422376
24,ns/ns,foo,"bdce - callsite-splitting - tailcallelim - loop-sink - speculative-execution - slp-vectorizer - aggressive-instcombine - loop(loop-idiom) - no-op-function - no-op-function",422376
25,ns/ns,foo,"adce - no-op-function - jump-threading - sroa - instcombine - loop(indvars) - loop(loop-idiom) - no-op-function - no-op-function - no-op-function",422376
26,ns/ns,foo,"loop(loop-deletion) - aggressive-instcombine - reassociate - speculative-execution - no-op-function - sroa - pgo-memop-opt - jump-threading - no-op-function - no-op-function",422376
27,ns/ns,foo,"adce - no-op-function - lcssa - loop(loop-idiom) - no-op-function - bdce - loop-sink - no-op-function - loop-distribute - no-op-function",422376
28,ns/ns,foo,"bdce - callsite-splitting - lcssa - loop(indvars) - loop(loop-deletion) - memcpyopt - slp-vectorizer - sccp - loop-vectorize - no-op-function",422376
29,ns/ns,foo,"loop-vectorize - float2int - loop(loop-idiom) - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",422376
