id,benchmark,function,passes,wcet
0,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - loop-vectorize",185646
1,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - loop(loop-deletion)",216026
2,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - sroa",129846
3,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - loop-mssa(licm)",215696
4,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - tailcallelim",129846
5,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - speculative-execution",129846
6,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - slp-vectorizer",129846
7,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - pgo-memop-opt",129846
8,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - jump-threading",129846
9,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - mem2reg",129846
10,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - lower-constant-intrinsics",129846
11,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - float2int",129846
12,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - alignment-from-assumptions",129846
13,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - adce",129846
14,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - mem2reg,loop-unroll<O3>",216026
15,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - no-op-function",129846
16,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop-vectorize",185646
17,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop(loop-deletion)",216026
18,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn",129846
19,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - mldst-motion",129846
20,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop-mssa(licm)",215696
21,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - speculative-execution",129846
22,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - reassociate",129846
23,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - slp-vectorizer",129846
24,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - pgo-memop-opt",129846
25,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop-distribute",129846
26,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - lcssa",216026
27,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - memcpyopt",129846
28,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - mem2reg",129846
29,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop-sink",129846
30,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop-simplify",129846
31,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - loop(indvars)",216026
32,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - lower-expect",129846
33,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - libcalls-shrinkwrap",129846
34,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - instsimplify",129846
35,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - instcombine",188146
36,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - correlated-propagation",129846
37,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - bdce",129846
38,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - aggressive-instcombine",129846
39,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - mem2reg,loop-unroll<O3>",216026
40,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - no-op-function",129846
41,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - instcombine",188146
42,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-vectorize",185646
43,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop(loop-deletion)",216026
44,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa",129846
45,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-mssa(licm)",215696
46,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - tailcallelim",129846
47,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sccp",129846
48,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - pgo-memop-opt",129846
49,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-distribute",129846
50,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-load-elim",129846
51,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - lcssa",216026
52,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - jump-threading",129846
53,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - memcpyopt",129846
54,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - mldst-motion",129846
55,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-sink",129846
56,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - loop-simplify",129846
57,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - gvn - sroa - gvn - sroa - sroa - sroa - gvn - loop-simplify",129846
