id,benchmark,function,passes,wcet
0,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - gvn - loop(indvars)",190236
1,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - gvn - loop(indvars)",190236
2,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - gvn - loop-vectorize",159236
3,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - gvn - loop-vectorize",159236
4,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop-vectorize - gvn",128856
5,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(indvars) - loop(loop-deletion) - gvn",128856
6,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop(loop-deletion) - gvn",128856
7,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - gvn - gvn - loop-vectorize",159236
8,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - gvn - loop(loop-deletion)",190236
9,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - loop(indvars) - gvn",128856
10,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - gvn - loop(loop-deletion)",190236
11,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - loop-vectorize - gvn",128856
12,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - gvn - loop-vectorize",159236
13,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - loop(loop-deletion) - gvn",128856
14,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-idiom) - loop-vectorize - gvn",128856
15,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - gvn - gvn - loop(loop-idiom)",190236
16,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-idiom) - loop(loop-deletion) - gvn",128856
17,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom) - gvn - gvn - loop(indvars)",190236
18,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop(loop-idiom) - gvn",128856
19,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-idiom) - loop(loop-idiom) - gvn",128856
20,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-mssa(licm) - loop(indvars) - gvn",128856
21,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - gvn - loop-mssa(licm)",190236
22,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - gvn - gvn - loop-mssa(licm)",190236
23,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom) - gvn - gvn - loop-mssa(licm)",190236
24,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-mssa(licm) - loop(loop-idiom) - gvn",128856
25,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop-mssa(licm) - gvn",128856
26,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - gvn - gvn - loop-vectorize",159236
27,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - loop-mssa(licm) - gvn",128856
28,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - gvn - gvn - loop(loop-deletion)",190236
29,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - gvn - gvn - loop(loop-idiom)",190236
30,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-mssa(licm) - loop-mssa(licm) - gvn",128856
31,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - gvn - lcssa",190236
32,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - loop(indvars) - gvn",128856
33,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - gvn - lcssa",190236
34,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - loop-vectorize - gvn",128856
35,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(indvars) - gvn - loop-vectorize",159236
36,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - gvn - loop-vectorize",159236
37,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - gvn - gvn - lcssa",190236
38,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - loop(loop-deletion) - gvn",128856
39,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom) - gvn - gvn - lcssa",190236
40,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - loop(loop-idiom) - gvn",128856
41,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - loop-mssa(licm) - gvn",128856
42,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - gvn - loop(indvars)",190236
43,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - gvn - loop-vectorize",159236
44,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - gvn - loop(loop-deletion)",190236
45,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-idiom) - lcssa - gvn",128856
46,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - gvn - loop(loop-idiom)",190236
47,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-mssa(licm) - lcssa - gvn",128856
48,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - gvn - loop-mssa(licm)",190236
49,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - lcssa - gvn",128856
50,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(indvars) - loop(indvars) - instsimplify",128856
51,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - instsimplify - gvn - loop(indvars)",190236
52,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-deletion) - loop(indvars) - instsimplify",128856
53,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - instsimplify - gvn - loop(loop-deletion)",190236
54,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - instsimplify - gvn - loop-mssa(licm)",190236
55,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - instsimplify - gvn - lcssa",190236
56,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - instsimplify - loop(indvars)",190236
57,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - loop(indvars) - gvn",128856
58,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - instsimplify - loop(indvars)",190236
59,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - gvn - instsimplify - loop(indvars)",190236
60,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - loop(loop-deletion) - gvn",128856
61,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom) - gvn - instsimplify - loop(indvars)",190236
62,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - gvn - instsimplify - loop(indvars)",190236
63,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - instsimplify - loop(indvars)",190236
64,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - lcssa - gvn",128856
65,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - gvn - gvn - loop-mssa(licm)",190236
66,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - instsimplify - gvn - loop(indvars)",190236
67,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop-vectorize - instsimplify",128856
68,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - instsimplify - gvn - loop-vectorize",159236
69,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - instsimplify - gvn - loop(loop-deletion)",190236
70,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - loop-vectorize - instsimplify",128856
71,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - instsimplify - loop-vectorize",159236
72,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(indvars) - instsimplify - loop-vectorize",159236
73,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - gvn - loop(indvars)",190236
74,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - instsimplify - loop-vectorize",159236
75,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - loop-vectorize - gvn",128856
76,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - loop(loop-deletion) - gvn",128856
77,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - gvn - loop(loop-deletion)",190236
78,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-idiom) - gvn - instsimplify - loop-vectorize",159236
79,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - gvn - loop-mssa(licm)",190236
80,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - lcssa - instsimplify - loop-vectorize",159236
81,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - loop(indvars) - instsimplify",128856
82,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - instsimplify - loop-vectorize",159236
83,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - gvn - loop(indvars)",190236
84,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-vectorize - loop(loop-deletion) - instsimplify",128856
85,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - gvn - loop-vectorize",159236
86,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(loop-idiom) - loop(loop-deletion) - instsimplify",128856
87,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop-mssa(licm) - loop(loop-deletion) - instsimplify",128856
88,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - gvn - lcssa",190236
89,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(indvars) - loop(loop-deletion) - instsimplify",128856
90,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - instsimplify - loop(indvars)",190236
91,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - loop(loop-deletion) - instsimplify",128856
92,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - instsimplify - loop-vectorize",159236
93,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(indvars) - gvn - instsimplify - loop(loop-deletion)",190236
94,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(loop-deletion) - loop(indvars) - gvn",128856
95,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(loop-deletion) - loop(loop-deletion) - gvn",128856
96,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(loop-deletion) - loop-mssa(licm) - gvn",128856
97,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - lcssa - gvn - instsimplify - loop(loop-deletion)",190236
98,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(loop-deletion) - lcssa - gvn",128856
99,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop(loop-deletion) - loop-vectorize - instsimplify",128856
100,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - instsimplify - loop-vectorize - instsimplify - loop(loop-deletion)",190236
101,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - instsimplify - instsimplify - loop(loop-deletion)",190236
102,ns/ns,foo,"loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - gvn - gvn - loop(indvars) - loop(loop-idiom) - instsimplify",128856
