id,benchmark,function,passes,wcet
0,ns/ns,foo,"correlated-propagation - alignment-from-assumptions - sroa - loop-mssa(licm) - loop-distribute - float2int - pgo-memop-opt - bdce - bdce",370686
1,ns/ns,foo,"mem2reg,loop-unroll<O3> - callsite-splitting - loop-sink",230926
2,ns/ns,foo,"instcombine - gvn - jump-threading - loop(loop-idiom) - mem2reg - loop(loop-idiom) - div-rem-pairs",422316
3,ns/ns,foo,"loop-load-elim - instsimplify - loop-sink - dse - sroa - loop-distribute - mem2reg,loop-unroll<O3> - loop-sink - alignment-from-assumptions - tailcallelim",230926
4,ns/ns,foo,"correlated-propagation - alignment-from-assumptions - loop-vectorize - speculative-execution - mem2reg,loop-unroll<O3> - pgo-memop-opt - no-op-function - gvn",129846
5,ns/ns,foo,"aggressive-instcombine - callsite-splitting - lower-constant-intrinsics - alignment-from-assumptions - alignment-from-assumptions - jump-threading - dse - lcssa",422376
6,ns/ns,foo,"sroa - speculative-execution - lower-constant-intrinsics - correlated-propagation - mem2reg,loop-unroll<O3> - div-rem-pairs - slp-vectorizer - memcpyopt - lcssa - alignment-from-assumptions",230926
7,ns/ns,foo,"bdce - instsimplify - libcalls-shrinkwrap - lower-constant-intrinsics - loop-load-elim - reassociate - float2int - loop(loop-deletion)",422376
8,ns/ns,foo,"reassociate - slp-vectorizer - mem2reg - adce - loop-vectorize - pgo-memop-opt - instsimplify - memcpyopt - bdce",367696
9,ns/ns,foo,"gvn - lcssa - mem2reg,loop-unroll<O3> - loop-sink - correlated-propagation - bdce - speculative-execution - lower-expect",199866
10,ns/ns,foo,"mldst-motion - loop(loop-deletion) - pgo-memop-opt - loop-vectorize - gvn - div-rem-pairs - adce - float2int - instcombine",367636
11,ns/ns,foo,"instsimplify - loop-mssa(licm) - mem2reg - adce - memcpyopt - reassociate - mem2reg,loop-unroll<O3> - reassociate - mldst-motion - lcssa",190296
12,ns/ns,foo,"loop(indvars) - dse - alignment-from-assumptions",422376
13,ns/ns,foo,"loop-vectorize - mem2reg",383316
14,ns/ns,foo,"loop-mssa(licm) - instcombine",367696
15,ns/ns,foo,"correlated-propagation - callsite-splitting - lower-expect - no-op-function - instcombine - loop(loop-deletion) - aggressive-instcombine - lower-constant-intrinsics",422376
16,ns/ns,foo,"float2int - memcpyopt",367696
17,ns/ns,foo,"loop-sink - gvn - correlated-propagation",367636
18,ns/ns,foo,"speculative-execution - callsite-splitting - pgo-memop-opt - loop(loop-idiom) - loop-load-elim - loop(indvars) - sccp - instsimplify",367696
19,ns/ns,foo,"no-op-function - mem2reg,loop-unroll<O3> - callsite-splitting - speculative-execution - sccp",230926
20,ns/ns,foo,"sroa - libcalls-shrinkwrap",367696
21,ns/ns,foo,"instsimplify - jump-threading - mem2reg - libcalls-shrinkwrap - mldst-motion - loop-mssa(licm) - memcpyopt - no-op-function",370686
22,ns/ns,foo,"lower-constant-intrinsics - loop-sink - loop(loop-deletion) - div-rem-pairs - loop(loop-idiom) - loop(indvars)",422376
23,ns/ns,foo,"aggressive-instcombine - dse - bdce - pgo-memop-opt - lcssa - lcssa",422376
24,ns/ns,foo,"sccp - jump-threading - correlated-propagation - sroa - bdce - loop-simplify - loop-distribute",367696
25,ns/ns,foo,"correlated-propagation - loop-vectorize - jump-threading - loop-vectorize - adce - loop-distribute - sroa - speculative-execution",383316
26,ns/ns,foo,"loop(loop-deletion) - gvn - gvn - memcpyopt - lower-constant-intrinsics - adce - loop(loop-deletion) - callsite-splitting - loop(indvars)",422316
27,ns/ns,foo,"reassociate - instcombine - loop-simplify - loop-mssa(licm) - mem2reg,loop-unroll<O3>",230926
28,ns/ns,foo,"mem2reg - div-rem-pairs - div-rem-pairs - loop-sink - memcpyopt - jump-threading - float2int - gvn",367636
29,ns/ns,foo,"loop(indvars) - loop-mssa(licm) - slp-vectorizer - no-op-function - float2int - gvn - lower-constant-intrinsics - loop-vectorize",284706
30,ns/ns,foo,"sccp - mldst-motion - dse",367696
31,ns/ns,foo,"aggressive-instcombine - instsimplify",367696
32,ns/ns,foo,"lower-constant-intrinsics - libcalls-shrinkwrap - loop-load-elim - mldst-motion",367696
33,ns/ns,foo,"loop(loop-deletion) - dse",422376
34,ns/ns,foo,"loop-vectorize - tailcallelim",383316
