id,benchmark,function,passes,wcet
0,durbin/durbin,init_array,"aggressive-instcombine - loop-vectorize - correlated-propagation",3237943
1,durbin/durbin,init_array,"gvn - aggressive-instcombine - loop-mssa(licm)",3237543
2,durbin/durbin,init_array,"loop-vectorize - loop-mssa(licm) - loop-simplify - loop(loop-deletion) - mem2reg,loop-unroll<O3> - sroa - pgo-memop-opt - loop-mssa(licm) - sroa",3229772
3,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - alignment-from-assumptions - alignment-from-assumptions - speculative-execution - loop-mssa(licm) - loop(indvars) - loop-load-elim",3237543
4,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3229772
5,durbin/durbin,init_array,"loop-mssa(licm) - lcssa - loop-mssa(licm) - loop-load-elim - loop-mssa(licm) - sroa - loop-mssa(licm)",3237543
6,durbin/durbin,init_array,"speculative-execution - jump-threading - loop-mssa(licm) - sccp",3237543
7,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - lcssa - loop-mssa(licm) - correlated-propagation - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm)",3229772
8,durbin/durbin,init_array,"loop-sink - lcssa - instsimplify - loop-simplify - loop-mssa(licm) - callsite-splitting - mldst-motion - lower-expect - loop-mssa(licm)",3237543
9,durbin/durbin,init_array,"aggressive-instcombine - loop-mssa(licm) - sroa - mldst-motion - loop-vectorize - loop-vectorize - loop-mssa(licm) - mldst-motion - loop-mssa(licm) - loop(loop-idiom)",3237543
10,durbin/durbin,init_array,"correlated-propagation - loop(indvars) - memcpyopt - instcombine",3237943
11,durbin/durbin,init_array,"loop-vectorize - loop-distribute - loop-mssa(licm) - speculative-execution - correlated-propagation - float2int - dse - correlated-propagation",3237543
12,durbin/durbin,init_array,"correlated-propagation - gvn - dse - loop-distribute",3237943
13,durbin/durbin,init_array,"libcalls-shrinkwrap - loop-vectorize - div-rem-pairs - instsimplify",3237943
14,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - reassociate - sroa - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3237543
15,durbin/durbin,init_array,"instsimplify - reassociate - loop-mssa(licm)",3237543
16,durbin/durbin,init_array,"loop-mssa(licm) - loop-sink - alignment-from-assumptions - instsimplify - loop-vectorize - loop-mssa(licm) - loop-mssa(licm)",3237543
17,durbin/durbin,init_array,"loop-simplify - loop-mssa(licm) - loop-mssa(licm) - loop-simplify - loop-mssa(licm) - gvn - slp-vectorizer - lower-expect - correlated-propagation",3237543
18,durbin/durbin,init_array,"loop-mssa(licm) - loop-sink - loop-vectorize - instcombine - loop-mssa(licm) - loop-mssa(licm)",3237543
19,durbin/durbin,init_array,"correlated-propagation - mem2reg,loop-unroll<O3> - loop-vectorize - loop-mssa(licm) - adce - loop-mssa(licm) - loop-mssa(licm)",3237543
20,durbin/durbin,init_array,"loop-mssa(licm) - slp-vectorizer - loop-mssa(licm) - bdce - loop-mssa(licm)",3237543
21,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop(loop-idiom)",3237543
22,durbin/durbin,init_array,"libcalls-shrinkwrap - aggressive-instcombine - sccp - loop-mssa(licm) - lower-constant-intrinsics - correlated-propagation - loop-mssa(licm) - loop(loop-deletion)",3237543
23,durbin/durbin,init_array,"loop-mssa(licm) - loop(loop-idiom) - gvn",3237543
24,durbin/durbin,init_array,"libcalls-shrinkwrap - loop-mssa(licm)",3237543
25,durbin/durbin,init_array,"gvn - callsite-splitting - loop-mssa(licm) - loop(loop-deletion) - correlated-propagation - gvn - dse - loop-mssa(licm) - jump-threading - lower-expect",3237543
26,durbin/durbin,init_array,"loop-mssa(licm) - aggressive-instcombine - loop(loop-deletion) - aggressive-instcombine - mem2reg,loop-unroll<O3>",3229772
