id,benchmark,function,passes,wcet
0,durbin/durbin,init_array,"slp-vectorizer - aggressive-instcombine - correlated-propagation - lower-constant-intrinsics - pgo-memop-opt - loop-load-elim - div-rem-pairs - loop-sink - reassociate - no-op-function",3237943
1,durbin/durbin,init_array,"gvn - loop(loop-idiom) - no-op-function - no-op-function - no-op-function - no-op-function - div-rem-pairs - lower-constant-intrinsics - lower-constant-intrinsics - div-rem-pairs",3237943
2,durbin/durbin,init_array,"loop-mssa(licm) - alignment-from-assumptions - loop-mssa(licm) - loop-vectorize - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - lower-expect - no-op-function - no-op-function - no-op-function",3229772
3,durbin/durbin,init_array,"sroa - loop-mssa(licm) - speculative-execution - loop-vectorize - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - memcpyopt - bdce - no-op-function - no-op-function",3229772
4,durbin/durbin,init_array,"loop-distribute - loop(loop-idiom) - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - loop(loop-idiom) - no-op-function",3237943
5,durbin/durbin,init_array,"instsimplify - loop-mssa(licm) - speculative-execution - float2int - slp-vectorizer - speculative-execution - div-rem-pairs - lower-constant-intrinsics - aggressive-instcombine - no-op-function",3237543
6,durbin/durbin,init_array,"gvn - alignment-from-assumptions - loop-mssa(licm) - loop-mssa(licm) - gvn - loop(loop-deletion) - sccp - correlated-propagation - correlated-propagation - sccp",3237543
7,durbin/durbin,init_array,"loop-sink - adce - loop-mssa(licm) - loop(loop-deletion) - slp-vectorizer - mem2reg,loop-unroll<O3> - memcpyopt - no-op-function - no-op-function - no-op-function",3229772
8,durbin/durbin,init_array,"sroa - sccp - loop-mssa(licm) - loop-vectorize - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - lower-expect - no-op-function - no-op-function - no-op-function",3229772
9,durbin/durbin,init_array,"loop-sink - adce - loop-mssa(licm) - loop(loop-deletion) - slp-vectorizer - speculative-execution - div-rem-pairs - lower-constant-intrinsics - jump-threading - loop-mssa(licm)",3237543
10,durbin/durbin,init_array,"instsimplify - loop-mssa(licm) - lower-expect - correlated-propagation - no-op-function - no-op-function - loop(indvars) - jump-threading - instsimplify - mem2reg,loop-unroll<O3>",3229772
11,durbin/durbin,init_array,"div-rem-pairs - loop-mssa(licm) - sccp - instsimplify - alignment-from-assumptions - callsite-splitting - mem2reg,loop-unroll<O3> - sccp - instcombine - instcombine",3229772
12,durbin/durbin,init_array,"gvn - alignment-from-assumptions - loop-mssa(licm) - loop-vectorize - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - no-op-function - no-op-function - no-op-function - no-op-function",3229772
