id,benchmark,function,passes,wcet
0,syrk/syrk,init_array,"loop-mssa(licm) - loop-mssa(licm)",24950307
1,syrk/syrk,init_array,"loop(indvars)",25228514
2,syrk/syrk,init_array,"gvn",25228514
3,syrk/syrk,init_array,"loop(loop-idiom)",25228514
4,syrk/syrk,init_array,"mldst-motion",25228514
5,syrk/syrk,init_array,"slp-vectorizer",25228514
6,syrk/syrk,init_array,"pgo-memop-opt",25228514
7,syrk/syrk,init_array,"lcssa",25228514
8,syrk/syrk,init_array,"jump-threading",25228514
9,syrk/syrk,init_array,"mem2reg",25228514
10,syrk/syrk,init_array,"lower-constant-intrinsics",25228514
11,syrk/syrk,init_array,"lower-expect",25228514
12,syrk/syrk,init_array,"instcombine",25228514
13,syrk/syrk,init_array,"div-rem-pairs",25228514
14,syrk/syrk,init_array,"correlated-propagation",25228514
15,syrk/syrk,init_array,"callsite-splitting",25228514
16,syrk/syrk,init_array,"adce",25228514
17,syrk/syrk,init_array,"mem2reg,loop-unroll<O3>",25228514
18,syrk/syrk,init_array,"loop(indvars) - loop-vectorize",25228514
19,syrk/syrk,init_array,"loop(indvars) - loop(loop-deletion)",25228514
20,syrk/syrk,init_array,"loop-vectorize - loop(loop-deletion)",25228514
21,syrk/syrk,init_array,"loop(indvars) - sroa",25228514
22,syrk/syrk,init_array,"loop-sink",25228514
23,syrk/syrk,init_array,"loop-vectorize - sroa",25228514
24,syrk/syrk,init_array,"loop(loop-deletion) - sroa",25228514
25,syrk/syrk,init_array,"loop(indvars) - gvn",25228514
26,syrk/syrk,init_array,"gvn - loop(indvars)",25228514
27,syrk/syrk,init_array,"loop-vectorize - gvn",25228514
28,syrk/syrk,init_array,"gvn - loop-vectorize",25228514
29,syrk/syrk,init_array,"loop(loop-deletion) - gvn",25228514
30,syrk/syrk,init_array,"loop(loop-idiom) - loop(indvars)",25228514
31,syrk/syrk,init_array,"loop-vectorize - loop(loop-idiom)",25228514
32,syrk/syrk,init_array,"loop(loop-deletion) - loop(loop-idiom)",25228514
33,syrk/syrk,init_array,"sroa - loop(loop-idiom)",25228514
34,syrk/syrk,init_array,"loop(loop-idiom) - sroa",25228514
35,syrk/syrk,init_array,"gvn - loop(loop-idiom)",25228514
36,syrk/syrk,init_array,"mldst-motion - loop(indvars)",25228514
37,syrk/syrk,init_array,"loop(loop-deletion) - mldst-motion",25228514
38,syrk/syrk,init_array,"sroa - mldst-motion",25228514
