id,benchmark,function,passes,wcet
0,syrk/syrk,init_array,"mem2reg,loop-unroll<O3> - lower-expect - speculative-execution - mldst-motion",25228514
1,syrk/syrk,init_array,"loop(loop-idiom) - dse - loop-load-elim - loop(loop-deletion)",25228514
2,syrk/syrk,init_array,"pgo-memop-opt - libcalls-shrinkwrap - loop-vectorize - alignment-from-assumptions - loop-load-elim - loop(loop-deletion)",25228514
3,syrk/syrk,init_array,"lcssa",25228514
4,syrk/syrk,init_array,"mldst-motion - slp-vectorizer - jump-threading - correlated-propagation",25228514
5,syrk/syrk,init_array,"lcssa - jump-threading - lower-expect - libcalls-shrinkwrap - bdce - dse - bdce - div-rem-pairs - mem2reg - loop-simplify",25228514
6,syrk/syrk,init_array,"slp-vectorizer - loop(loop-deletion) - loop(loop-idiom) - mem2reg - loop-simplify - mem2reg,loop-unroll<O3>",25228514
7,syrk/syrk,init_array,"adce",25228514
8,syrk/syrk,init_array,"dse - sroa - libcalls-shrinkwrap - float2int",25228514
9,syrk/syrk,init_array,"pgo-memop-opt - lower-expect - loop(loop-idiom) - loop-distribute - float2int - adce",25228514
10,syrk/syrk,init_array,"baseline",25213284
11,syrk/syrk,kernel_syrk,"div-rem-pairs - mldst-motion - instcombine - instcombine",25871474
12,syrk/syrk,kernel_syrk,"float2int - callsite-splitting - loop-mssa(licm) - correlated-propagation - pgo-memop-opt",21453644
13,syrk/syrk,kernel_syrk,"libcalls-shrinkwrap - loop(loop-deletion) - mem2reg,loop-unroll<O3>",25871474
14,syrk/syrk,kernel_syrk,"slp-vectorizer - aggressive-instcombine - reassociate - lower-constant-intrinsics - instsimplify - lower-expect - loop-distribute",25871474
15,syrk/syrk,kernel_syrk,"lower-constant-intrinsics",25871474
16,syrk/syrk,kernel_syrk,"loop(loop-idiom) - loop-distribute - bdce - alignment-from-assumptions - lower-constant-intrinsics",25871474
17,syrk/syrk,kernel_syrk,"loop(loop-deletion) - div-rem-pairs - mldst-motion - float2int - loop(indvars) - loop(indvars) - gvn - jump-threading - slp-vectorizer - instcombine",25874654
18,syrk/syrk,kernel_syrk,"libcalls-shrinkwrap",25871474
19,syrk/syrk,kernel_syrk,"mem2reg - mem2reg,loop-unroll<O3>",25871474
20,syrk/syrk,kernel_syrk,"dse - lcssa - aggressive-instcombine - instsimplify - reassociate - slp-vectorizer - pgo-memop-opt - bdce - loop-distribute - loop-vectorize",25871474
21,syrk/syrk,print_array,"memcpyopt",21433514
22,syrk/syrk,print_array,"instcombine - loop-mssa(licm) - dse",21407144
23,syrk/syrk,print_array,"mem2reg,loop-unroll<O3>",21433514
24,syrk/syrk,print_array,"sroa",21433514
25,syrk/syrk,print_array,"instcombine - aggressive-instcombine - loop-simplify",21433514
26,syrk/syrk,print_array,"memcpyopt - sroa",21433514
27,syrk/syrk,print_array,"reassociate - adce - loop-distribute - loop-vectorize - loop-load-elim - loop-vectorize - lower-expect - pgo-memop-opt",21433514
28,syrk/syrk,print_array,"lower-constant-intrinsics - loop-vectorize - callsite-splitting - float2int - loop-distribute - div-rem-pairs",21433514
29,syrk/syrk,print_array,"loop-sink - pgo-memop-opt - bdce - loop-vectorize - lcssa - memcpyopt - mem2reg - dse",21433514
30,syrk/syrk,print_array,"dse - lcssa - reassociate - aggressive-instcombine - loop-vectorize",21433514
31,syrk/syrk,main,"mem2reg,loop-unroll<O3> - sccp",21407144
32,syrk/syrk,main,"aggressive-instcombine - dse - bdce - loop(loop-deletion) - loop-distribute - memcpyopt - speculative-execution - adce - loop(loop-deletion)",21407224
33,syrk/syrk,main,"callsite-splitting - loop(loop-idiom)",21407144
34,syrk/syrk,main,"instsimplify - loop-distribute - dse - loop-load-elim - float2int - sroa - lower-expect - gvn - instsimplify - speculative-execution",21407144
35,syrk/syrk,main,"sroa - loop(indvars) - reassociate - sccp - mldst-motion",21407144
36,syrk/syrk,main,"loop-distribute - callsite-splitting - adce - instcombine - callsite-splitting - aggressive-instcombine",21407144
37,syrk/syrk,main,"loop-vectorize - loop-load-elim - dse - lcssa - lower-expect - float2int - loop(loop-deletion) - loop-sink",21407144
38,syrk/syrk,main,"loop-load-elim - loop(loop-idiom) - mem2reg,loop-unroll<O3> - sccp - dse - callsite-splitting - lcssa - loop-sink",21407144
39,syrk/syrk,main,"mem2reg,loop-unroll<O3> - slp-vectorizer - mem2reg,loop-unroll<O3> - loop(indvars)",21407144
40,syrk/syrk,main,"loop(loop-idiom)",21407144
41,durbin/durbin,init_array,"loop(loop-deletion) - loop-simplify - loop-sink - loop(indvars) - lcssa",3237943
42,durbin/durbin,init_array,"lower-constant-intrinsics - loop(indvars) - lcssa",3237943
43,durbin/durbin,init_array,"jump-threading - instcombine - sroa - sccp - loop(loop-idiom) - aggressive-instcombine - loop-mssa(licm)",3237543
44,durbin/durbin,init_array,"jump-threading - correlated-propagation - reassociate - bdce - gvn - dse - alignment-from-assumptions - lower-constant-intrinsics - correlated-propagation",3237943
45,durbin/durbin,init_array,"pgo-memop-opt - loop-load-elim - loop-load-elim - bdce - loop(indvars) - loop-vectorize",3237943
46,durbin/durbin,init_array,"mem2reg,loop-unroll<O3> - callsite-splitting - mem2reg - aggressive-instcombine - dse - sroa - pgo-memop-opt - correlated-propagation - float2int - loop-sink",3237943
47,durbin/durbin,init_array,"loop-simplify - loop-simplify - bdce - float2int - loop-vectorize",3237943
48,durbin/durbin,init_array,"slp-vectorizer - loop-sink - sccp - lower-constant-intrinsics - loop-sink - sroa - lcssa - mldst-motion",3237943
49,durbin/durbin,init_array,"gvn",3237943
50,durbin/durbin,init_array,"loop-simplify - lower-expect - loop-distribute - alignment-from-assumptions - instsimplify - loop-sink - lower-expect - float2int - mldst-motion",3237943
51,durbin/durbin,init_array,"baseline",3237533
52,durbin/durbin,kernel_durbin,"instcombine - aggressive-instcombine - float2int - correlated-propagation - slp-vectorizer",3122343
53,durbin/durbin,kernel_durbin,"lower-expect - loop-vectorize - div-rem-pairs - alignment-from-assumptions - loop-mssa(licm)",3187943
54,durbin/durbin,kernel_durbin,"alignment-from-assumptions - jump-threading - sroa - adce",3122343
55,durbin/durbin,kernel_durbin,"loop-simplify - loop-vectorize - pgo-memop-opt - bdce - dse - memcpyopt",3187943
56,durbin/durbin,kernel_durbin,"lower-expect - alignment-from-assumptions - aggressive-instcombine - mem2reg,loop-unroll<O3> - pgo-memop-opt",3187943
57,durbin/durbin,kernel_durbin,"adce - jump-threading - lower-expect - alignment-from-assumptions - slp-vectorizer - sroa - loop-sink - gvn - loop-mssa(licm) - loop-simplify",3187943
58,durbin/durbin,kernel_durbin,"loop-distribute - libcalls-shrinkwrap - loop-vectorize - mldst-motion",3187943
59,durbin/durbin,kernel_durbin,"loop-load-elim - callsite-splitting - instcombine - float2int",3122343
60,durbin/durbin,kernel_durbin,"loop-load-elim - loop-distribute - pgo-memop-opt - pgo-memop-opt - correlated-propagation - reassociate - lcssa - lower-expect",3188703
61,durbin/durbin,kernel_durbin,"pgo-memop-opt - dse - loop(loop-idiom) - correlated-propagation - jump-threading - jump-threading - loop-mssa(licm) - sccp",3187943
62,durbin/durbin,print_array,"speculative-execution - loop-distribute - correlated-propagation - lcssa - slp-vectorizer - lower-expect - speculative-execution - reassociate",3121523
63,durbin/durbin,print_array,"loop-mssa(licm) - adce - lower-expect - div-rem-pairs",3121523
64,durbin/durbin,print_array,"correlated-propagation - float2int - mem2reg - gvn - gvn - loop-simplify - loop-load-elim",3121523
65,durbin/durbin,print_array,"jump-threading - loop-simplify - instcombine - sroa",3120293
66,durbin/durbin,print_array,"jump-threading - libcalls-shrinkwrap - instsimplify - loop-sink - memcpyopt - pgo-memop-opt - div-rem-pairs",3121523
67,durbin/durbin,print_array,"mem2reg - div-rem-pairs - speculative-execution - loop(loop-deletion) - aggressive-instcombine - memcpyopt - callsite-splitting - alignment-from-assumptions - gvn",3121523
68,durbin/durbin,print_array,"libcalls-shrinkwrap - lower-expect - instsimplify - memcpyopt - libcalls-shrinkwrap - loop(loop-idiom)",3121523
69,durbin/durbin,print_array,"sroa",3121523
70,durbin/durbin,print_array,"reassociate - jump-threading - sccp - sccp - slp-vectorizer",3121523
71,durbin/durbin,print_array,"sroa - gvn - sccp",3121523
72,durbin/durbin,main,"sccp - loop(indvars)",3120293
73,durbin/durbin,main,"lcssa - reassociate - mem2reg - loop-simplify - instsimplify - lcssa - reassociate - reassociate - mem2reg,loop-unroll<O3>",3120293
74,durbin/durbin,main,"loop-simplify - loop(loop-idiom) - adce",3120293
75,durbin/durbin,main,"loop(indvars) - mem2reg - loop-distribute - mem2reg,loop-unroll<O3> - loop-vectorize - correlated-propagation - libcalls-shrinkwrap",3120293
76,durbin/durbin,main,"loop-vectorize - float2int - correlated-propagation - slp-vectorizer - lcssa - adce - loop(loop-idiom) - loop(loop-deletion)",3120293
77,durbin/durbin,main,"adce - jump-threading - loop-load-elim - lower-constant-intrinsics - correlated-propagation - div-rem-pairs - mldst-motion - pgo-memop-opt - pgo-memop-opt - mldst-motion",3120293
78,durbin/durbin,main,"lower-expect - lcssa - loop-load-elim - loop-simplify - memcpyopt - aggressive-instcombine - speculative-execution - pgo-memop-opt - instcombine",3120293
79,durbin/durbin,main,"speculative-execution - instsimplify - loop(loop-deletion) - correlated-propagation - slp-vectorizer - sroa - instsimplify - lower-constant-intrinsics",3120293
80,durbin/durbin,main,"mem2reg - loop-vectorize - loop-mssa(licm)",3120293
81,durbin/durbin,main,"alignment-from-assumptions - loop-vectorize - instsimplify - correlated-propagation - mem2reg,loop-unroll<O3> - div-rem-pairs - loop-distribute",3120293
82,fdtd-2d/fdtd-2d,init_array,"correlated-propagation - slp-vectorizer - loop-distribute - sroa",45652592
83,fdtd-2d/fdtd-2d,init_array,"loop-sink - adce - float2int - sroa - sccp - loop(loop-idiom) - loop-simplify",45652592
84,fdtd-2d/fdtd-2d,init_array,"loop-load-elim - loop-load-elim - reassociate - loop-load-elim - sccp - gvn - dse - memcpyopt",45652592
85,fdtd-2d/fdtd-2d,init_array,"float2int - div-rem-pairs - slp-vectorizer - loop-sink - div-rem-pairs - loop-vectorize - instcombine - slp-vectorizer - float2int - callsite-splitting",45652592
86,fdtd-2d/fdtd-2d,init_array,"aggressive-instcombine - memcpyopt - div-rem-pairs - lcssa",45652592
87,fdtd-2d/fdtd-2d,init_array,"loop-vectorize - loop(loop-deletion) - loop-load-elim",45652592
88,fdtd-2d/fdtd-2d,init_array,"instcombine - loop-simplify - memcpyopt - dse - alignment-from-assumptions - instsimplify - dse - slp-vectorizer - adce - loop-distribute",45652592
89,fdtd-2d/fdtd-2d,init_array,"loop-distribute - gvn - loop-mssa(licm) - dse - jump-threading - loop-vectorize - mldst-motion - reassociate - memcpyopt - loop(indvars)",45313214
90,fdtd-2d/fdtd-2d,init_array,"bdce - slp-vectorizer - loop-mssa(licm) - adce - instsimplify - mem2reg,loop-unroll<O3> - float2int - correlated-propagation - sccp",45309659
91,fdtd-2d/fdtd-2d,init_array,"correlated-propagation - mem2reg - mem2reg - speculative-execution - loop-vectorize - loop-mssa(licm)",45315856
92,fdtd-2d/fdtd-2d,init_array,"baseline",45627644
93,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"adce - memcpyopt - loop-mssa(licm) - dse - alignment-from-assumptions - loop(loop-deletion) - lower-expect - instcombine",48908849
94,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"lower-expect - mem2reg,loop-unroll<O3>",46909229
95,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"loop-sink - alignment-from-assumptions - libcalls-shrinkwrap",47086279
96,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"loop-distribute - lower-constant-intrinsics - loop(loop-deletion) - instcombine",47086279
97,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"instsimplify - div-rem-pairs - pgo-memop-opt - lower-constant-intrinsics - loop-distribute - loop-vectorize - jump-threading - alignment-from-assumptions",47086279
98,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"correlated-propagation - mldst-motion - div-rem-pairs - slp-vectorizer - loop-sink - loop-distribute - memcpyopt",47086279
99,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"pgo-memop-opt - correlated-propagation - loop-distribute - adce - div-rem-pairs - aggressive-instcombine",47086279
100,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"float2int - slp-vectorizer - libcalls-shrinkwrap - instsimplify - memcpyopt",47086279
101,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"mldst-motion - mldst-motion - loop(loop-idiom) - gvn - adce",47086279
102,fdtd-2d/fdtd-2d,kernel_fdtd_2d,"speculative-execution - lower-constant-intrinsics - lcssa - slp-vectorizer - loop-mssa(licm) - speculative-execution - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap",46192949
103,fdtd-2d/fdtd-2d,print_array,"loop-mssa(licm) - loop-distribute - pgo-memop-opt - mem2reg,loop-unroll<O3> - reassociate - reassociate - speculative-execution - pgo-memop-opt - dse",46005209
104,fdtd-2d/fdtd-2d,print_array,"loop-mssa(licm) - adce - reassociate - libcalls-shrinkwrap - pgo-memop-opt - loop-vectorize - mldst-motion - loop-distribute - aggressive-instcombine - loop-load-elim",46005209
